id,listing_url,bedrooms,beds,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_value
44593097,https://www.airbnb.com/rooms/44593097,1.0,5.0,$65.00,13,4.92,5.0,4.92
44593376,https://www.airbnb.com/rooms/44593376,2.0,4.0,$145.00,72,4.93,4.94,4.93
44595896,https://www.airbnb.com/rooms/44595896,2.0,3.0,$200.00,2,4.0,5.0,4.0
44615672,https://www.airbnb.com/rooms/44615672,6.0,8.0,$550.00,36,4.78,4.86,4.64
44626033,https://www.airbnb.com/rooms/44626033,,1.0,$126.00,73,4.73,4.84,4.78
44645345,https://www.airbnb.com/rooms/44645345,1.0,1.0,$100.00,155,4.95,4.93,4.88
44646672,https://www.airbnb.com/rooms/44646672,1.0,1.0,$54.00,65,5.0,5.0,5.0
44648474,https://www.airbnb.com/rooms/44648474,3.0,3.0,$150.00,2,5.0,5.0,5.0
44651715,https://www.airbnb.com/rooms/44651715,2.0,3.0,$400.00,18,4.72,4.83,4.72
44661100,https://www.airbnb.com/rooms/44661100,1.0,1.0,$77.00,16,5.0,5.0,5.0
44667552,https://www.airbnb.com/rooms/44667552,2.0,2.0,$173.00,22,4.59,4.64,4.77
44677991,https://www.airbnb.com/rooms/44677991,3.0,4.0,$210.00,95,4.89,4.94,4.79
44684447,https://www.airbnb.com/rooms/44684447,,3.0,$109.00,14,4.86,4.93,4.64
44711798,https://www.airbnb.com/rooms/44711798,1.0,1.0,$125.00,64,4.7,4.78,4.63
44749662,https://www.airbnb.com/rooms/44749662,1.0,1.0,$144.00,201,4.92,4.96,4.89
44752662,https://www.airbnb.com/rooms/44752662,2.0,3.0,$684.00,13,4.85,4.92,4.77
44753345,https://www.airbnb.com/rooms/44753345,1.0,1.0,$33.00,2,4.5,4.0,4.5
44758390,https://www.airbnb.com/rooms/44758390,3.0,3.0,$339.00,165,4.85,4.92,4.82
44771850,https://www.airbnb.com/rooms/44771850,2.0,3.0,$193.00,18,4.94,5.0,4.78
44887961,https://www.airbnb.com/rooms/44887961,1.0,2.0,$338.00,11,5.0,5.0,4.91
44890086,https://www.airbnb.com/rooms/44890086,4.0,5.0,$358.00,49,4.86,4.8,4.69
44892708,https://www.airbnb.com/rooms/44892708,3.0,4.0,$426.00,64,4.95,4.97,4.88
44897510,https://www.airbnb.com/rooms/44897510,1.0,2.0,$177.00,43,5.0,5.0,4.98
44952688,https://www.airbnb.com/rooms/44952688,1.0,1.0,$85.00,0,,,
44972164,https://www.airbnb.com/rooms/44972164,1.0,1.0,$100.00,24,4.54,4.58,4.29
44996777,https://www.airbnb.com/rooms/44996777,2.0,2.0,$241.00,4,5.0,5.0,4.75
45001128,https://www.airbnb.com/rooms/45001128,2.0,2.0,$200.00,64,4.92,4.94,4.88
45003200,https://www.airbnb.com/rooms/45003200,1.0,2.0,$117.00,25,4.92,4.88,4.8
